"burner","total_amount","x1_tx"
"8oYGPdUejqc7HCLfKSW8Jp8nxEcpsbzM19uUxq6MbcW2","668832201.832201
","JTLrrPNHoVEmEm4Psf1s7pjDTED1td4XM35PYU4rrSG7xy1Z2iBLz1xYop6fScTH3s8xEhJDfLisraL9RfpmQ21"
"AE2Yy3jF7jF9Yxv2oqgGEE7Qz9eLed8AeENC77ViyBHR","665778602
","3vgRzD2kBJwjBuC3MkV9xrmK7f21rxNrEUmHUFLqDafLSwE5EhnBF39xL7Szz88vYmmc2Q1d78jaobWT86kVT1ot"
"6eRUgmvR2Ax5Kno4Nr4DCwMiLdgwpURBiJfRs81oKDL","50454849
","4yWsa1Xkr2Lbg2fbPiAzY4hH2huc11pPNA8vNeyfF546X3hY3mu5sQSSGeGKV2GHKQpsJ2WgeXmBywLXoPE3HdMj"
"Fdr45f9PR6FRzFGjVuBEqecAtJnrFHN1zxUX2Yrd5MBa","30000000
","JfgcrJHrApZBLE3qDKPWqBBdny3pTsfdaCBAWXmmdkVQikpMu2b7TcqEB81JdPDZTstET8uc6s6AXraLf4mNfk9"
"6AZ7h7qXh3JgiesDfCaszBwn9gfJcKszmLy21nzoRNeB","27642789.381213
","29wFMMs6wvxJaSrZPu4gZC8ANuG3wKD5XfL1qDzjAyxXAq2y8XmJeu3H7nVeshEpRngfKdRZ8rByKWPgmtvg41wB"
"DC3gBjNGwKEx3dYGhRprvwoTRE99iDCuM7SLo2mopvHx","19828946
","yxPUmQZJ5cCJQ6L1yYvbx7pEQX7BM3rcwe3xtmQw242GRTi79cuutceUXzcoMxqkTX6kHBUJ6WUopGW591qYVdM"
"6J8ixhNrNz8ayUcZP1uu4QwMSgvfanXLU7KjerryQVmG","8900000
","DoYpfvWytoCEqRRykYZrrADriEaKwRc1KtG2nxFcUM8KKBNkq8AncBkArVzZ46GjthrsBpYVh9mFqyQtTrG51DU"
"2be8kSvG5GsGgtoZanB6V52zqmeR9b19cAAYCUnfmpjF","8769430
","5VYCogrLThYpN4qhm6TXAD9R5FyAYLc9Sy7Jgr8fj3L7ayEcTw5afoNMc4WhktTFpdv1AoBS52cEypMJvBYvbYav"
"J34YCFon1N1YxPLM6YsEV5fptxLJXjP9mAiRTzPr5jm4","2569582
","5McqFHPWpMqVST4StevsMoH8Gpcrz4MCF9VwYor9pEiDsJ4zoaPXW8c8Sjpu863LpPXTwXcCjAEicpxwujtcYKTy"
"D794SmkvCeNbZ1Hfza1ZqCGBmaDnxy8Ri62hAVTFV4cP","1190783
","UeNf9fR6LWUqYzyKAC8peZkfXeWjcy7keX1vp1QdjLEC1Ax2MXxdEFHv9TRi8oVyVneczwGa57M8RYHFT2UfBT4"
